age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
30,services,single,secondary,no,-100,yes,yes,cellular,15,may,292,1,999,0,unknown,no
50,technician,married,tertiary,no,247,no,no,unknown,23,may,173,1,999,0,unknown,no
34,admin.,single,secondary,no,846,yes,no,cellular,17,apr,758,2,999,0,unknown,no
58,retired,married,secondary,no,235,no,no,cellular,27,aug,88,4,999,0,unknown,no
25,student,single,secondary,no,703,no,no,cellular,5,may,1100,3,999,0,unknown,no
39,self-employed,divorced,secondary,yes,-103,no,yes,unknown,5,jun,210,3,999,0,unknown,no
41,blue-collar,married,primary,no,3140,yes,no,unknown,13,may,87,9,999,0,unknown,no
40,services,married,secondary,no,0,yes,yes,cellular,2,feb,226,2,999,0,unknown,no
35,unemployed,married,secondary,no,2080,yes,no,telephone,14,apr,266,3,999,0,unknown,no
48,management,married,tertiary,no,7867,yes,yes,unknown,30,may,306,3,999,0,unknown,no
35,management,single,tertiary,no,805,no,no,cellular,17,sep,613,1,999,0,unknown,no
42,blue-collar,married,primary,no,2003,yes,no,cellular,17,apr,177,3,999,0,unknown,no
39,admin.,single,secondary,no,2749,yes,no,cellular,19,nov,128,1,999,0,unknown,no
37,blue-collar,married,secondary,no,2697,yes,no,cellular,20,apr,430,1,999,0,unknown,no
39,management,single,tertiary,no,93,yes,yes,cellular,13,may,196,2,331,3,failure,no
51,blue-collar,married,secondary,no,-92,yes,no,unknown,4,jun,28,4,999,0,unknown,no
34,technician,single,secondary,no,161,no,yes,cellular,8,aug,61,2,999,0,unknown,no
47,blue-collar,married,primary,no,673,yes,yes,unknown,6,jun,118,4,999,0,unknown,no
45,admin.,married,secondary,no,0,no,no,cellular,19,aug,145,10,999,0,unknown,no
39,management,married,tertiary,no,0,yes,no,unknown,2,jun,46,2,999,0,unknown,no
39,admin.,single,secondary,no,6512,no,no,unknown,20,jun,16,6,999,0,unknown,no
41,services,married,secondary,no,804,yes,no,unknown,20,may,127,8,999,0,unknown,no
53,management,married,tertiary,no,261,no,no,cellular,19,aug,100,2,999,0,unknown,no
31,technician,single,secondary,no,205,yes,no,unknown,3,jun,342,2,999,0,unknown,no
